Stock Name,Ticker,Trendlyne ID,Research Report URL,MarketCap,Industry Name,Sector Name,BSE Ticker
United Spirits Ltd,UNITDSPR,851,https://trendlyne.com/research-reports/stock/851/UNITDSPR/,8.88E+11,Breweries & Distilleries,"Food, Beverages & Tobacco",532432
Waaree Energies Ltd,WAAREEENER,2723026,https://trendlyne.com/research-reports/stock/2723026/WAAREEENER/,8.83E+11,Other Electrical Equipment/Products,Consumer Durables,544277
Ashok Leyland Ltd,ASHOKLEY,114,https://trendlyne.com/research-reports/stock/114/ASHOKLEY/,8.72E+11,,,
Zydus Lifesciences Ltd,ZYDUSLIFE,229,https://trendlyne.com/research-reports/stock/229/ZYDUSLIFE/,8.70E+11,Pharmaceuticals,Pharmaceuticals & Biotechnology,532321
Bharat Heavy Electricals Ltd,BHEL,189,https://trendlyne.com/research-reports/stock/189/BHEL/,8.64E+11,,,
Jsw Energy Ltd,JSWENERGY,697,https://trendlyne.com/research-reports/stock/697/JSWENERGY/,8.63E+11,Power - Electric Utilities,Utilities,533148
Rec Ltd,RECLTD,1119,https://trendlyne.com/research-reports/stock/1119/RECLTD/,8.55E+11,Financial Institutions,Banking and Finance,532955
Lenskart Solutions Ltd,LENSKART,3309492,https://trendlyne.com/research-reports/stock/3309492/LENSKART/,8.42E+11,Other Apparels & Accessories,Textiles Apparels & Accessories,544600
Icici Lombard General Insurance Company Ltd,ICICIGI,61147,https://trendlyne.com/research-reports/stock/61147/ICICIGI/,8.42E+11,General Insurance,Banking and Finance,540716
Shree Cements Ltd,SHREECEM,1226,https://trendlyne.com/research-reports/stock/1226/SHREECEM/,8.34E+11,,,
Indian Hotels Company Ltd,INDHOTEL,606,https://trendlyne.com/research-reports/stock/606/INDHOTEL/,8.30E+11,,,
Mankind Pharma Ltd,MANKIND,1436676,https://trendlyne.com/research-reports/stock/1436676/MANKIND/,8.25E+11,Pharmaceuticals,Pharmaceuticals & Biotechnology,543904
Ntpc Green Energy Ltd,NTPCGREEN,2789016,https://trendlyne.com/research-reports/stock/2789016/NTPCGREEN/,8.19E+11,Green & Renewable Energy,Utilities,544289
Persistent Systems Ltd,PERSISTENT,1023,https://trendlyne.com/research-reports/stock/1023/PERSISTENT/,8.18E+11,IT Consulting & Software,Software & Services,533179
Bharat Forge Ltd,BHARATFORG,184,https://trendlyne.com/research-reports/stock/184/BHARATFORG/,7.85E+11,,,
Aditya Birla Capital Ltd,ABCAPITAL,61684,https://trendlyne.com/research-reports/stock/61684/ABCAPITAL/,7.81E+11,Holding Companies,Diversified,540691
Oil India Ltd,OIL,965,https://trendlyne.com/research-reports/stock/965/OIL/,7.81E+11,Exploration & Production,Oil & Gas,533106
Aurobindo Pharma Ltd,AUROPHARMA,132,https://trendlyne.com/research-reports/stock/132/AUROPHARMA/,7.75E+11,Pharmaceuticals,Pharmaceuticals & Biotechnology,524804
Swiggy Ltd,SWIGGY,2755533,https://trendlyne.com/research-reports/stock/2755533/SWIGGY/,7.60E+11,Internet & Catalogue Retail,Retailing,544285
Nhpc Ltd,NHPC,938,https://trendlyne.com/research-reports/stock/938/NHPC/,7.57E+11,Green & Renewable Energy,Utilities,533098
Bharti Hexacom Ltd,BHARTIHEXA,2170198,https://trendlyne.com/research-reports/stock/2170198/BHARTIHEXA/,7.53E+11,Other Telecom Services,Telecom Services,544162
Idbi Bank Ltd,IDBI,588,https://trendlyne.com/research-reports/stock/588/IDBI/,7.48E+11,,,
Havells India Ltd,HAVELLS,525,https://trendlyne.com/research-reports/stock/525/HAVELLS/,7.41E+11,,,
Dabur India Ltd,DABUR,303,https://trendlyne.com/research-reports/stock/303/DABUR/,7.40E+11,,,
National Aluminium Company Ltd,NATIONALUM,911,https://trendlyne.com/research-reports/stock/911/NATIONALUM/,7.38E+11,Aluminium and Aluminium Products,Metals & Mining,532234
Icici Prudential Life Insurance Company Ltd,ICICIPRULI,4714,https://trendlyne.com/research-reports/stock/4714/ICICIPRULI/,7.30E+11,Life Insurance,Banking and Finance,540133
Srf Ltd,SRF,1283,https://trendlyne.com/research-reports/stock/1283/SRF/,7.16E+11,,,
Fsn E Commerce Ventures Ltd,NYKAA,705188,https://trendlyne.com/research-reports/stock/705188/NYKAA/,7.04E+11,Internet & Catalogue Retail,Retailing,543384
Lodha Developers Ltd,LODHA,460813,https://trendlyne.com/research-reports/stock/460813/LODHA/,6.95E+11,Realty,Realty,543287
Hindustan Petroleum Corporation Ltd,HINDPETRO,556,https://trendlyne.com/research-reports/stock/556/HINDPETRO/,6.94E+11,,,
Nmdc Ltd,NMDC,949,https://trendlyne.com/research-reports/stock/949/NMDC/,6.86E+11,Coal & Mining,Metals & Mining,526371
Torrent Power Ltd,TORNTPOWER,1410,https://trendlyne.com/research-reports/stock/1410/TORNTPOWER/,6.71E+11,Power - Electric Utilities,Utilities,532779
Meesho Ltd,MEESHO,3346816,https://trendlyne.com/research-reports/stock/3346816/MEESHO/,6.69E+11,Internet & Catalogue Retail,Retailing,544632
General Insurance Corporation Of India,GICRE,63527,https://trendlyne.com/research-reports/stock/63527/GICRE/,6.64E+11,General Insurance,Banking and Finance,540755
Pb Fintech Ltd,POLICYBZR,710819,https://trendlyne.com/research-reports/stock/710819/POLICYBZR/,6.60E+11,Internet Software & Services,Software & Services,543390
